Alexandre Dimitri Song Billong,28,Cameroon,Midfield - Defensive Midfield,right,7.50m,4,Darren Dein,http://www.transfermarkt.co.uk//alex-song/profil/spieler/27394
Divock Okoth Origi,21,Belgium,Striker - Centre Forward,both,6.75m,27,WMG,http://www.transfermarkt.co.uk//divock-origi/profil/spieler/148368
Winston Wiremu Reid,27,New Zealand,Defence - Centre Back,right,6.75m,2,Boutique Transfers and Management ApS,http://www.transfermarkt.co.uk//winston-reid/profil/spieler/37526
Idrissa Gana Gueye,26,Senegal,Midfield - Central Midfield,right,6.75m,8,firsteleven ISM,http://www.transfermarkt.co.uk//idrissa-gueye/profil/spieler/126665
Andros Darryl Townsend,24,England,Midfield - Right Wing,left,6.75m,25,not informed,http://www.transfermarkt.co.uk//andros-townsend/profil/spieler/61842
Troy Matthew Deeney,27,England,Striker - Centre Forward,right,6.75m,9,not informed,http://www.transfermarkt.co.uk//troy-deeney/profil/spieler/65477
Benik Tunani Afobe,23,Congo DR,Striker - Centre Forward,both,6.75m,20,Stellar Football Ltd,http://www.transfermarkt.co.uk//benik-afobe/profil/spieler/110858
Carl Daniel Jenkinson,24,England,Defence - Right-Back,right,6.75m,25,Not clarified,http://www.transfermarkt.co.uk//carl-jenkinson/profil/spieler/126321
Angelo Obinze Ogbonna,27,Italy,Defence - Centre Back,left,6.75m,21,Branchini Associati S.p.A.,http://www.transfermarkt.co.uk//angelo-ogbonna/profil/spieler/48002
Thomas William Cleverley,26,England,Midfield - Central Midfield,right,6.75m,15,Not clarified,http://www.transfermarkt.co.uk//tom-cleverley/profil/spieler/73484
Leroy Johan Fer,26,Netherlands,Midfield - Central Midfield,both,6.38m,8,Wasserman Netherlands Management,http://www.transfermarkt.co.uk//leroy-fer/profil/spieler/63342
Jordan Marcel Gilbert Veretout,23,France,Midfield - Central Midfield,right,6.00m,17,Eden Sports Group,http://www.transfermarkt.co.uk//jordan-veretout/profil/spieler/164771
Max-Alain Gradel,28,Cote d'Ivoire,Midfield - Left Wing,right,6.00m,10,Change4S,http://www.transfermarkt.co.uk//max-gradel/profil/spieler/28140
Robert Kenedy Nunes do Nascimento,20,Brazil,Defence - Left-Back,left,6.00m,16,firsteleven ISM development,http://www.transfermarkt.co.uk//kenedy/profil/spieler/281404
Joel Nathaniel Campbell Samuels,23,Costa Rica,Striker - Right Wing,left,6.00m,28,Not clarified,http://www.transfermarkt.co.uk//joel-campbell/profil/spieler/131248
Timothy Michael Krul,28,Netherlands,Goalkeeper,left,6.00m,1,not informed,http://www.transfermarkt.co.uk//tim-krul/profil/spieler/33027
Benjamin Thomas Davies,23,Wales,Defence - Left-Back,left,6.00m,33,not informed,http://www.transfermarkt.co.uk//ben-davies/profil/spieler/192765
Pedro Mba Obiang Avomo,24,Spain,Midfield - Central Midfield,right,6.00m,14,Relatives,http://www.transfermarkt.co.uk//pedro-obiang/profil/spieler/101213
Mame Biram Diouf,28,Senegal,Striker - Centre Forward,right,6.00m,18,Jim Solbakken,http://www.transfermarkt.co.uk//mame-diouf/profil/spieler/62049
Dazet Wilfried Armel Zaha,23,England,Midfield - Right Wing,right,6.00m,11,KICK & RUN SPORTS,http://www.transfermarkt.co.uk//wilfried-zaha/profil/spieler/145988
Joseph Michael Allen,26,Wales,Midfield - Central Midfield,right,6.00m,24,Not clarified,http://www.transfermarkt.co.uk//joe-allen/profil/spieler/51452
Jack Christian Rodwell,25,England,Midfield - Central Midfield,right,6.00m,8,James Grant Sports Management,http://www.transfermarkt.co.uk//jack-rodwell/profil/spieler/57079
Luis Antonio Valencia Mosquera,30,Ecuador,Defence - Right-Back,right,6.00m,25,LYD Sports,http://www.transfermarkt.co.uk//antonio-valencia/profil/spieler/33544
Jack Raymond Colback,26,England,Midfield - Defensive Midfield,left,5.63m,4,not informed,http://www.transfermarkt.co.uk//jack-colback/profil/spieler/61644
Ryan Glen Mason,24,England,Midfield - Central Midfield,right,5.63m,8,World in Motion,http://www.transfermarkt.co.uk//ryan-mason/profil/spieler/61834
Nathan Daniel Jerome Redmond,22,England,Midfield - Right Wing,right,5.63m,22,Soccertalents,http://www.transfermarkt.co.uk//nathan-redmond/profil/spieler/129078
Steven Roy Caulker,24,England,Defence - Centre Back,right,5.63m,19,Stellar Football Ltd,http://www.transfermarkt.co.uk//steven-caulker/profil/spieler/121280
Jordan Pierre Ayew,24,Ghana,Striker - Centre Forward,right,5.63m,19,Mondial Promotion,http://www.transfermarkt.co.uk//jordan-ayew/profil/spieler/108354
Rudolphe Philippe Michel Camille Gestede,27,Benin,Striker - Centre Forward,right,5.25m,39,Gallea Gestion S.A,http://www.transfermarkt.co.uk//rudy-gestede/profil/spieler/39908
Michail Gregory Antonio,26,England,Midfield - Right Wing,right,5.25m,30,not informed,http://www.transfermarkt.co.uk//michail-antonio/profil/spieler/104124
Jordon Femi Ashley Ibe,20,England,Midfield - Right Wing,both,5.25m,33,firsteleven ISM,http://www.transfermarkt.co.uk//jordon-ibe/profil/spieler/195652
Mark James Noble,29,England,Midfield - Central Midfield,right,5.25m,16,not informed,http://www.transfermarkt.co.uk//mark-noble/profil/spieler/31835
Jonathon Patrick Flanagan,23,England,Defence - Right-Back,right,5.25m,38,not informed,http://www.transfermarkt.co.uk//jon-flanagan/profil/spieler/145922
Glen McLeod Cooper Johnson,31,England,Defence - Right-Back,both,5.25m,8,Stellar Football Ltd,http://www.transfermarkt.co.uk//glen-johnson/profil/spieler/3881
Ashley Errol Williams,31,Wales,Defence - Centre Back,right,4.88m,6,not informed,http://www.transfermarkt.co.uk//ashley-williams/profil/spieler/67355
Michael John Jedinak,31,Australia,Midfield - Central Midfield,right,4.50m,15,Playmaker Football Management,http://www.transfermarkt.co.uk//mile-jedinak/profil/spieler/28336
James Oliver Charles Tomkins,27,England,Defence - Centre Back,right,4.50m,5,GT Talents World,http://www.transfermarkt.co.uk//james-tomkins/profil/spieler/61592
Costel Fane Pantilimon,29,Romania,Goalkeeper,right,4.50m,18,Relatives,http://www.transfermarkt.co.uk//costel-pantilimon/profil/spieler/47659
Kieran John Trippier,25,England,Defence - Right-Back,right,4.50m,16,Stellar Football Ltd,http://www.transfermarkt.co.uk//kieran-trippier/profil/spieler/95810
Tyrone Deon Mings,23,England,Defence - Left-Back,left,4.50m,14,not informed,http://www.transfermarkt.co.uk//tyrone-mings/profil/spieler/253677
James Grant Chester,27,Wales,Defence - Centre Back,right,4.50m,4,not informed,http://www.transfermarkt.co.uk//james-chester/profil/spieler/73482
Robert Brady,24,Ireland,Defence - Left-Back,left,4.50m,12,not informed,http://www.transfermarkt.co.uk//robbie-brady/profil/spieler/128229
Mamadou Oulare Obbi,20,Belgium,Striker - Centre Forward,right,4.50m,10,Kirola Sports S.A.,http://www.transfermarkt.co.uk//obbi-oulare/profil/spieler/314959
Steven John Naismith,29,Scotland,Striker - Secondary Striker,right,4.50m,7,PMPR Excellence,http://www.transfermarkt.co.uk//steven-naismith/profil/spieler/12763
