,name,img_url,position,mkt_value,age,season,from_,to,transf_val
137,Marco Di Vaio,http://akacdn.transfermarkt.de/images/portrait/medium/4170-1455621250.jpg?lm=1455621266,Defensive Midfield,£37.50m,25,06/07,Spurs,Manchester Utd.,£20.40m
138,Antonio Cassano,http://akacdn.transfermarkt.de/images/portrait/medium/5962-1448965838.jpg?lm=1448965866,Attacking Midfield,£37.50m,24,09/10,Werder Bremen,Juventus,£20.25m
139,Márcio Amoroso,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_1263_123_2013_05_23_1.jpg?lm=0,Centre Forward,£37.50m,23,04/05,RCD Mallorca,FC Barcelona,£20.25m
140,Álvaro Negredo,http://akacdn.transfermarkt.de/images/portrait/medium/18644-1447247395.jpg?lm=1447247426,Centre Forward,£37.50m,30,11/12,Inter,Anzhi,£20.25m
141,Ramires,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_54170_631_2012_1.jpg?lm=0,Centre Forward,£37.50m,25,08/09,AFC Ajax,Real Madrid,£20.25m
142,Samir Nasri,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_18935_281_2013_10_01_1.jpg?lm=0,Attacking Midfield,£37.50m,23,07/08,AFC Ajax,Real Madrid,£20.25m
143,Memphis Depay,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_167850_383_2012_2.jpg?lm=0,Centre Back,£37.50m,19,05/06,Sevilla FC,Real Madrid,£20.25m
144,Diego,http://akacdn.transfermarkt.de/images/portrait/medium/4248-1441144356.jpg?lm=1441144366,Right Wing,£37.50m,28,15/16,FC Barcelona,Chelsea FC,£20.25m
145,Samuel Eto'o,http://akacdn.transfermarkt.de/images/portrait/medium/4257-1444922080.jpg?lm=1444922103,Attacking Midfield,£37.50m,23,11/12,Valencia CF,Chelsea FC,£20.03m
146,Wesley Sneijder,http://akacdn.transfermarkt.de/images/portrait/medium/4673-1442483219.jpeg?lm=1442483241,Keeper,£37.50m,29,01/02,Fiorentina,Inter,£19.88m
147,Pedro,http://akacdn.transfermarkt.de/images/portrait/medium/65278-1454602329.jpg?lm=1454602286,Centre Forward,£37.50m,24,10/11,AFC Ajax,Liverpool,£19.88m
148,Francesco Toldo,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_5769_123_2013_06_05_1.jpg?lm=0,Centre Back,£37.50m,22,00/01,West Ham,Leeds,£19.50m
149,Rio Ferdinand,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_3235_985_2009_1.jpg?lm=0,Centre Forward,£37.50m,25,02/03,Parma,Juventus,£19.50m
150,Mahamadou Diarra,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_5352_931_2012_1.jpg?lm=0,Defensive Midfield,£37.50m,25,06/07,Olympique Lyon,Real Madrid,£19.50m
151,Stevan Jovetic,http://akacdn.transfermarkt.de/images/portrait/medium/46104-1448967812.jpg?lm=1448967829,Left Wing,£37.50m,22,11/12,Udinese Calcio,FC Barcelona,£19.50m
152,Jaap Stam,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_3557_123_2012_12_27_1.jpg?lm=0,Secondary Striker,£37.50m,23,13/14,Fiorentina,Manchester City,£19.50m
153,Nani,http://akacdn.transfermarkt.de/images/portrait/medium/33706-1441144566.jpg?lm=1441144581,Left-Back,£37.50m,24,15/16,FC Porto,Juventus,£19.50m
154,Owen Hargreaves,http://akacdn.transfermarkt.de/bilder/spielerfotos/s_201_985_2009_1.jpg?lm=0,Centre Back,£37.50m,29,01/02,Manchester Utd.,Lazio,£19.31m
